LeaderID,Name,NameAlternative,CurrentPositionString,Sex,BirthDateString,BirthPlaceString,DeathReported,DeathString
박태원,박태원,,,남성,연도미상,,,연도미상
박태화,박태화,,(사망) 조선불교도연맹 위원장,남성,1919년 10월 15일,함경북도,(사망),2005년 11월
박혁철,박혁철,,상업성 상,남성,연도미상,,,연도미상
박형렬,박형렬,,예산위원회 위원,남성,연도미상,,,연도미상
박호영,박호영,,국토환경보호성 1부상,남성,1953년,평양시,,연도미상
박훈,박훈,박훈,내각 부총리,남성,연도미상,,,연도미상
방강수,방강수,,민족경제협력위원회 위원장,남성,1958년 09월 24일,평양시,,연도미상
배달준,배달준,,,남성,1936년,,,연도미상
백계룡,백계룡,백계용,,남성,1948년 01월 01일,,,연도미상
백남순,백남순,,(사망) 외무성 상,남성,1929년 03월 13일,량강도,(사망),2007년 01월 03일
백룡천,백룡천,백룡천,,남성,1962년,평양시,,연도미상
백세봉,백세봉,,,남성,1938년,,,2013년 10월
백용호,백용호,,조선적십자회 중앙위원회 집행부위원장,남성,1947년,함경남도,,연도미상
백인준,백인준,,(사망) 조국통일범민족연합북측본부 의장,남성,1920년 10월 20일,평안북도 운산군,(사망),1999년 01월 20일
백학림,백학림,,(사망) 당 중앙군사위원회 위원,남성,1918년 10월,평안남도 평원군,(사망),2006년 10월 05일
변영립,변영립,,(사망) 최고인민회의 상임위원회 서기장,남성,1929년,,(사망),연도미상
변인선,변인선,,,남성,1946년,,,연도미상
서종진,서종진,,건설건재공업성 상,남성,연도미상,,,연도미상
서창룡,서창룡,,,남성,연도미상,,,연도미상
서호원,서호원,,외교위원회 위원,남성,연도미상,,,연도미상
서홍찬,서홍찬,,국방성 부상,남성,연도미상,,,연도미상
성자립,성자립,,인민대학습당 부총장,남성,1948년 10월 11일,,,연도미상
손광호,손광호,,체육성 부상,남성,1960년 10월 24일,,,연도미상
손영훈,손영훈,,,남성,연도미상,,,연도미상
손철주,손철주,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
송승철,송승철,,남포특별시 인민위원회 위원장,남성,연도미상,,,연도미상
송일호,송일호,,외무성 대사,남성,1954년 04월 04일,평양시,,연도미상
송춘섭,송춘섭,,수산성 상,남성,연도미상,,,연도미상
송호경,송호경,,(사망) 조선아시아태평양평화위원회 부위원장,남성,1940년 02월 03일,평안남도,(사망),2004년 09월 19일
승정규,승정규,,문화성 상,남성,연도미상,,,연도미상
신룡만,신룡만,,당 중앙위원회 위원,남성,연도미상,,,연도미상
신만균,신만균,,,남성,연도미상,,,연도미상
신병철,신병철,,조선사회민주당 중앙위원회 부위원장,남성,1946년 01월 01일,황해남도,,연도미상
신선호,신선호,,,남성,1948년 07월 05일,황해남도,,연도미상
신영철,신영철,,나선특별시 당위원회 위원장,남성,1959년,,,연도미상
신창일,신창일,,나선특별시 인민위원회 위원장,남성,연도미상,,,연도미상
심국룡,심국룡,,,남성,연도미상,,,연도미상
심상진,심상진,,,남성,1944년 11월 05일,량강도,,연도미상
심영학,심영학,,,미상,연도미상,,,연도미상
심철호,심철호,,,남성,1960년,,,연도미상
안경호,안경호,,(사망) 당 통일전선부 부부장,남성,1930년 01월 18일,강원도,(사망),연도미상
안극태,안극태,,,남성,1935년,,,연도미상
안금철,안금철,,법제위원회 위원,남성,연도미상,,,연도미상
안동춘,안동춘,,최고인민회의 제14기 대의원,남성,1945년,,,연도미상
안정수,안정수,,당 중앙위원회 위원,남성,1948년 01월 01일,,,연도미상
안지용,안지용,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
양승호,양승호,,내각 부총리,남성,연도미상,,,연도미상
양형섭,양형섭,,최고인민회의 제14기 대의원,남성,1925년 10월 01일,함경남도,,연도미상
엄정철,엄정철,,,미상,연도미상,,,연도미상
여원구,여원구,려원구,(사망) 조국통일민주주의전선 공동의장,여성,1928년 11월 05일,북한지역외 남한 서울 종로,(사망),2009년 07월 30일
연형묵,연형묵,,(사망) 국무위원회 부위원장,남성,1931년 11월 03일,함경북도 경원군(새별군),(사망),2005년 10월 22일
오경룡,오경룡,,개성시 인민위원회 위원장,남성,연도미상,,,연도미상
오경석,오경석,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
오극렬,오극렬,,인민군 대장,남성,1930년 01월 07일,함경북도 온성군,,연도미상
오금철,오금철,,인민군 총참모부 부총참모장,남성,1947년 02월 24일,평양시,,연도미상
오동일,오동일,,당 중앙검사위원회 위원,남성,연도미상,,,연도미상
오수용,오수용,오수용,당 비서국 경제비서,남성,1947년,,,연도미상
오응창,오응창,,,남성,연도미상,,,연도미상
오일정,오일정,,당 군정지도부 부장,남성,1954년,평양시,,연도미상
오진우,오진우,,(사망) 인민무력부 부장,남성,1917년 03월 09일,함경남도 북청군,(사망),1995년 02월 25일
오춘복,오춘복,,보건성 상,여성,연도미상,,,연도미상
왕창욱,왕창욱,,원자력공업성 상,남성,연도미상,,,연도미상
우동측,우동측,,,남성,1942년 08월 08일,,,연도미상
우상철,우상철,,당 정치국 후보위원,남성,연도미상,,,연도미상
원길우,원길우,,체육성 부상,남성,1962년 04월 07일,,,연도미상
원도희,원도희,,,남성,1949년 01월 01일,량강도,,연도미상
원동연,원동연,,당 통일전선부 부부장,남성,1947년,함경북도,,연도미상
원응희,원응희,,(사망) 보위사령부 보위사령관,남성,1939년,,(사망),2004년 05월 15일
위성일,위성일,,당 중앙위원회 위원,남성,연도미상,,,연도미상
유진,유진,유진,당 군수공업부 부장,남성,연도미상,,,연도미상
유철우,유철우,,,남성,연도미상,,,연도미상
윤기정,윤기정,,(사망),여성,1928년 12월 15일,북한지역외 남한 서울,(사망),2010년 08월 13일
윤동현,윤동현,,인민무력성 부상,남성,연도미상,,,연도미상
윤영식,윤영식,,인민군 중장,남성,연도미상,,,연도미상
윤정린,윤정린,,인민군 대장,남성,1938년,,,연도미상
윤정호,윤정호,,대외경제성 상,남성,연도미상,,,연도미상
이동석,이동석,,,남성,연도미상,,,연도미상
임경재,임경재,,도시경영성 상,남성,연도미상,,,연도미상
임철웅,임철웅,,최고인민회의 제14기 대의원,남성,1961년 10월 27일,,,연도미상
임출웅,임출웅,,,남성,연도미상,,,연도미상
임훈,임훈,,황해북도 인민위원회 위원장,미상,연도미상,,,연도미상
자성남,자성남,,,남성,1954년 03월 28일,,,연도미상
장경일,장경일,,경공업성 상,남성,연도미상,,,연도미상
장광봉,장광봉,,당 중앙검사위원회 위원,남성,연도미상,,,연도미상
장금철,장금철,,당 중앙위원회 위원,남성,연도미상,,,연도미상
장기호,장기호,,당 중앙검사위원회 위원,남성,연도미상,,,연도미상
장길룡,장길룡,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
장길성,장길성,,인민군 상장,남성,연도미상,,,연도미상
장병규,장병규,,,남성,1920년,,,연도미상
장성길,장성길,,(사망) 인민군 중장,남성,1939년 01월 13일,평양시,(사망),2006년 07월
장성우,장성우,,(사망) 인민군 차수,남성,1933년 04월 07일,강원도,(사망),2009년 08월
장성택,장성택,,(사망) 국무위원회 부위원장,남성,1946년 01월 22일,함경북도 청진시,(사망),2013년 12월 12일
장세철,장세철,,최고인민회의 법제위원회 위원,남성,연도미상,,,연도미상
장영록,장영록,,개성시 당위원회 책임비서,남성,연도미상,,,연도미상
장웅,장웅,,조선올림픽위원회 부위원장,남성,1938년 07월 05일,평양시,,연도미상
장윤곤,장윤곤,,캄보디아(캄보쟈) 대사관 대사,남성,1956년 12월 10일,평양시 동대원구역,,연도미상
장재언,장재언,,조국통일범민족연합북측본부 부의장,남성,1942년 01월 01일,함경북도,,연도미상
장정남,장정남,,국무위원회 위원,남성,연도미상,,,연도미상
장정애,장정애,,,남성,연도미상,,,연도미상
장정주,장정주,,,남성,연도미상,,,연도미상
장준상,장준상,,당 중앙위원회 후보위원,남성,연도미상,,,연도미상
장창하,장창하,,국방과학원 원장,남성,연도미상,,,연도미상
장철,장철,,최고인민회의 제14기 대의원,남성,1955년,평양시,,연도미상
장춘성,장춘성,,철도성 상,남성,연도미상,,,연도미상
장춘실,장춘실,,최고인민회의 제14기 대의원,여성,연도미상,,,연도미상
장혁,장혁,,최고인민회의 제14기 대의원,남성,1966년 07월 25일,,,연도미상
장혜명,장혜명,,조선문화예술총동맹 산하기관 조선작가동맹 중앙위원회 부위원장,남성,1958년,량강도,,연도미상
전경남,전경남,,,남성,1954년,,,연도미상
전광호,전광호,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
전길수,전길수,,,남성,1959년 01월 01일,,,연도미상
전병호,전병호,,(사망) 인민군 대장,남성,1926년 03월 20일,,(사망),2014년 07월 07일
전승훈,전승훈,,,남성,1951년 10월 27일,황해남도,,연도미상
전영진,전영진,,,남성,1937년 02월 11일,함경남도,,연도미상
전용남,전용남,,조선반도의 평화와 자주통일을 위한 북.남.해외 제 정당.단체.개별인사들의 연석회의 북측준비위원회 부위원장,남성,연도미상,,,연도미상
전일춘,전일춘,,,남성,1941년,함경북도,,연도미상
전일호,전일호,,당 중앙위원회 전문부서 부부장,남성,연도미상,,,연도미상
전종수,전종수,,조국평화통일위원회 부위원장,남성,1963년 09월 20일,평양시,,연도미상
전창복,전창복,,인민군 상장,남성,연도미상,,,연도미상
전태수,전태수,,당 중앙검사위원회 위원,남성,연도미상,,,연도미상
전하철,전하철,,사회과학원 소장,남성,1928년 04월 22일,량강도 김형직군,,연도미상
전학철,전학철,,석탄공업성 상,남성,연도미상,,,연도미상
전현철,전현철,,내각 부총리,남성,연도미상,,,연도미상
전희정,전희정,,,남성,1930년 03월 05일,강원도,,연도미상
정경일,정경일,,,미상,연도미상,,,연도미상
정경택,정경택,,국가보위성 상,남성,연도미상,,,연도미상
정덕기,정덕기,,민족화해협의회 부회장,남성,1947년 05월 15일,,,연도미상
정명도,정명도,,인민군 대장,남성,연도미상,,,연도미상
정명학,정명학,,최고인민회의 제12기 대의원,남성,연도미상,,,연도미상
정봉석,정봉석,,,미상,연도미상,,,연도미상
정상학,정상학,,당 중앙검사위원회 위원장,남성,연도미상,,,연도미상
정승일,정승일,정승일,당 군수공업부 부부장,남성,연도미상,,,연도미상
정연과,정연과,,,남성,연도미상,,,연도미상
정영국,정영국,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
정영수,정영수,,,남성,1950년 01월 01일,강원도,,연도미상
정영원,정영원,,,남성,연도미상,,,연도미상
정인철,정인철,,당 중앙검사위원회 위원,남성,연도미상,,,연도미상
정태양,정태양,,,남성,1954년 11월 02일,평양시,,연도미상
정호균,정호균,,,남성,연도미상,,,연도미상
조경철,조경철,,인민군 보위국장,남성,연도미상,,,연도미상
조남진,조남진,,인민군 상장,남성,연도미상,,,연도미상
조명록,조명록,,(사망) 인민군 총정치국 국장,남성,1928년 07월 12일,함경북도 연사군,(사망),2010년 11월 06일
조병주,조병주,,,남성,1942년 12월 01일,,,연도미상
조석호,조석호,,,미상,연도미상,,,연도미상
조연준,조연준,,당 중앙위원회 위원,남성,1937년 09월 28일,함경남도,,연도미상
조영철,조영철,,당 중앙위원회 위원,남성,1962년,함경남도,,연도미상
조용원,조용원,,국무위원회 위원,남성,1957년,,,연도미상
조정호,조정호,,최고인민회의 제14기 대의원,남성,1959년 03월 10일,함경북도,,연도미상
조춘룡,조춘룡,,,남성,연도미상,,,연도미상
조현주,조현주,,조국평화통일위원회 서기국 부장,남성,1967년 01월 01일,평양시,,연도미상
조혜숙,조혜숙,,최고인민회의 제12기 대의원,여성,연도미상,,,연도미상
주규창,주규창,,(사망) 당 중앙위원회 후보위원,남성,1928년 11월 25일,함경남도 함주군,(사망),2018년 09월 03일
주동찬,주동찬,,민족경제협력위원회 부위원장,남성,1952년 01월 01일,평양시,,연도미상
주상성,주상성,,,남성,1933년 08월 01일,강원도 문천시,,연도미상
주영길,주영길,,최고인민회의 제14기 대의원,남성,1959년,평양시,,연도미상
주영식,주영식,,최고인민회의 제14기 대의원,남성,1942년 10월 20일,평안남도,,연도미상
주용일,주용일,,체신성 상,남성,연도미상,,,연도미상
주진구,주진구,,민족화해협의회 부회장,남성,1943년 01월 01일,함경남도,,연도미상
주창일,주창일,,당 중앙위원회 부장,남성,연도미상,,,연도미상
주철규,주철규,,농업성 상,남성,연도미상,,,연도미상
지재룡,지재룡,지재용,최고인민회의 제14기 대의원,남성,1942년 05월 10일,함경남도,,연도미상
진금송,진금송,,노동성 상,남성,연도미상,,,연도미상
차명남,차명남,,중앙재판소 소장,남성,연도미상,,,연도미상
차선모,차선모,,육해운성 참모장,남성,1950년,황해북도,,연도미상
차승수,차승수,,조선기자동맹 중앙위원회 위원장,남성,1939년 01월 01일,자강도 화평군,,연도미상
차희림,차희림,,최고인민회의 제14기 대의원,남성,1953년,,,연도미상
채성학,채성학,,,남성,연도미상,,,연도미상
채일룡,채일룡,,강원도 인민위원회 위원장,미상,연도미상,,,연도미상
채희정,채희정,,(사망) 당 문서정리실 실장,남성,1924년,함경남도,(사망),2014년 02월
최강,최강,,,남성,연도미상,,,연도미상
최강일,최강일,,오스트리아(오지리) 대사관 대사,남성,연도미상,,,연도미상
최경성,최경성,,인민군 상장,남성,1945년,,,연도미상
최경철,최경철,,보건성 상,남성,연도미상,,,연도미상
최광,최광,,(사망) 인민무력부 부장,남성,1918년 07월,함경북도,(사망),1997년 02월 21일
최광래,최광래,,,남성,1944년,평양시,,연도미상
최광진,최광진,,,남성,연도미상,,,연도미상
최권수,최권수,,,남성,연도미상,,,연도미상
최기룡,최기룡,최기용,,남성,연도미상,,,연도미상
최동명,최동명,,당 중앙위원회 위원,미상,연도미상,,,연도미상
최룡해,최룡해,최용해,최고인민회의 상임위원회 위원장,남성,1950년 01월 15일,황해남도 신천군,,연도미상
최명철,최명철,,,미상,연도미상,,,연도미상
최배진,최배진,,,남성,1956년 01월 01일,평양시,,연도미상
최부일,최부일,,최고인민회의 제14기 대의원,남성,1944년 03월 06일,함경북도 회령시,,연도미상
최상건,최상건,,조선과학기술총연맹 중앙위원회 위원장,남성,1953년 04월 28일,함경남도,,연도미상
최상려,최상려,,,남성,연도미상,,,연도미상
최선희,최선희,,당 중앙위원회 후보위원,여성,1964년 08월 10일,평양시,,연도미상
최성근,최성근,,,미상,연도미상,,,연도미상
최성익,최성익,,조선적십자회 중앙위원회 부위원장,남성,1938년 09월 21일,황해남도,,연도미상
최수헌,최수헌,,,남성,1939년 10월 07일,,,연도미상
최승호,최승호,,,미상,연도미상,,,연도미상
최영건,최영건,,,남성,1951년 12월 11일,강원도 천내군,,연도미상
최영림,최영림,,,남성,1930년 11월 20일,함경북도 경흥군(은덕군),,연도미상
최영일,최영일,,예산위원회 위원,남성,연도미상,,,연도미상
최영호a,최영호,,인민군 상장,남성,연도미상,,,연도미상
최영호b,최영호,최영호,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
최익규,최익규,,,남성,1933년 02월 26일,함경북도 화대군,,연도미상
최인덕,최인덕,,(사망) 김일성군사종합대학 총장,남성,1920년,,(사망),2003년 08월 31일
최일룡,최일룡,최일용,,남성,연도미상,,,연도미상
최정룡,최정룡,최정용,,남성,연도미상,,,연도미상
최종건,최종건,,,남성,1950년 01월 01일,,,연도미상
최진수,최진수,,조국통일범민족연합북측본부 의장,남성,1941년 06월 04일,황해남도,,연도미상
최창식,최창식,,조선반핵평화위원회 조선반핵평화의사협회 위원장,남성,1940년 04월 11일,평안북도,,연도미상
최춘식,최춘식,,인민군 중장,남성,1954년 10월 12일,,,연도미상
최칠남,최칠남,,,남성,1929년 07월 19일,,,연도미상
최태복,최태복,,,남성,1930년 12월 01일,남포시,,연도미상
최휘,최휘,최휘,당 중앙위원회 부장,남성,1955년,,,연도미상
최희정,최희정,,,남성,1946년 10월 22일,,,연도미상
최희태,최희태,,평양직할시 인민위원회 위원장,남성,연도미상,,,연도미상
태종수,태종수,,최고인민회의 제14기 대의원,남성,1936년 03월 20일,함경북도 명간군(화성군),,연도미상
태형철,태형철,,당 비서국 비서,남성,1953년,평양시,,연도미상
포희성,포희성,,,미상,연도미상,,,연도미상
한광복,한광복,,,여성,1946년 03월 18일,함경북도,,연도미상
한광상,한광상,,,남성,1957년,함경남도,,연도미상
한동근,한동근,,,남성,1933년 06월 01일,,,연도미상
한룡국,한룡국,,임업성 상,남성,연도미상,,,연도미상
한상준,한상준,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
한성렬,한성렬,,,남성,1954년 06월 17일,평안북도 대관군,,연도미상
한성룡,한성룡,한성용,(사망) 당 비서국 비서,남성,1923년,함경북도 명천군,(사망),연도미상
한종혁,한종혁,,조선농업근로자동맹 중앙위원회 위원장,남성,연도미상,,,연도미상
한호성,한호성,,,남성,연도미상,,,연도미상
한효연,한효연,,,남성,연도미상,,,연도미상
한흥표,한흥표,,,남성,1948년,,,연도미상
허광욱,허광욱,,,미상,연도미상,,,연도미상
허영률,허영률,,,남성,연도미상,,,연도미상
허종,허종,,,남성,1946년 03월 06일,,,연도미상
허종호,허종호,,최고인민회의 제14기 대의원,미상,연도미상,,,연도미상
허철만,허철만,,당 간부부 부장,남성,연도미상,,,연도미상
허택,허택,,전력공업성 부상,남성,연도미상,,,연도미상
현상주,현상주,,,남성,1940년,,,연도미상
현송월,현송월,,당 중앙위원회 부부장,여성,연도미상,,,연도미상
현영철,현영철,,(사망),남성,1949년 01월 11일,함경북도 어랑군,(사망),연도미상
현철해,현철해,,인민군 공화국 원수,남성,1934년 08월 13일,함경북도 경성군,,연도미상
홍광순,홍광순,,국가영화위원회 위원장,남성,1953년,,,연도미상
홍서헌,홍서헌,,김책공업종합대학 총장,남성,1945년 12월 31일,평안남도,,연도미상
홍석형,홍석형,,,남성,1936년 10월 01일,,,연도미상
홍선옥,홍선옥,,조선사회주의여성동맹 중앙위원회 부위원장,여성,1950년 03월 28일,평안북도,,연도미상
홍성남,홍성남,,(사망) 함경남도 당위원회 책임비서,남성,1929년 10월 02일,평안북도 정주시,(사망),2009년 03월 31일
홍승무,홍승무,,당 군수공업부 제1부부장,남성,연도미상,,,연도미상
홍영칠,홍영칠,,당 군수공업부 부부장,남성,연도미상,,,연도미상
홍인범,홍인범,,,남성,1937년,,,연도미상
홍일천,홍일천,,,여성,1942년,,,연도미상
황민,황민,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
황병서,황병서,,인민군 차수,남성,1949년,,,연도미상
황봉영,황봉영,,조선올림픽위원회 부위원장,남성,1944년 08월 15일,,,연도미상
황순희,황순희,,(사망) 조선혁명박물관 관장,여성,1919년 05월 03일,북한지역외 중국,(사망),2020년 01월 17일
황철식,황철식,,,미상,연도미상,,,연도미상
황학원,황학원,,,남성,1941년 01월 01일,,,연도미상
